iter	Passed	Remaining
0	157	157020
1	161	80382
2	163	54373
3	167	41711
4	171	34066
5	174	28875
6	177	25215
7	182	22590
8	185	20437
9	187	18560
10	191	17192
11	194	16023
12	198	15048
13	200	14123
14	204	13436
15	208	12850
16	212	12289
17	215	11781
18	218	11276
19	221	10860
20	225	10521
21	229	10186
22	232	9872
23	236	9602
24	240	9363
25	243	9124
26	247	8913
27	251	8718
28	254	8510
29	256	8292
30	260	8134
31	264	8014
32	268	7870
33	272	7737
34	277	7650
35	281	7526
36	285	7425
37	289	7336
38	293	7226
39	297	7139
40	300	7037
41	304	6946
42	308	6875
43	312	6787
44	315	6695
45	318	6604
46	322	6541
47	326	6472
48	330	6417
49	333	6332
50	334	6233
51	337	6153
52	341	6109
53	346	6062
54	349	6009
55	353	5952
56	357	5906
57	360	5848
58	363	5800
59	366	5745
60	369	5686
61	373	5649
62	376	5605
63	380	5563
64	381	5492
65	385	5457
66	388	5414
67	392	5381
68	396	5345
69	398	5297
70	401	5257
71	405	5226
72	409	5193
73	410	5141
74	414	5110
75	418	5090
76	422	5063
77	427	5047
78	430	5017
79	433	4987
80	436	4951
81	440	4928
82	443	4905
83	446	4871
84	449	4836
85	453	4816
86	457	4799
87	459	4759
88	463	4742
89	464	4699
90	468	4683
91	472	4659
92	477	4653
93	481	4640
94	485	4625
95	487	4592
96	489	4554
97	492	4535
98	497	4528
99	500	4504
100	504	4486
101	507	4466
102	509	4440
103	512	4416
104	514	4386
105	518	4371
106	522	4364
107	525	4336
108	529	4328
109	533	4315
110	534	4284
111	538	4267
112	543	4264
113	544	4234
114	549	4227
115	550	4198
116	555	4190
117	559	4184
118	563	4170
119	566	4152
120	569	4137
121	574	4134
122	578	4127
123	582	4117
124	587	4110
125	589	4088
126	593	4082
127	597	4073
128	601	4062
129	606	4058
130	610	4052
131	612	4028
132	615	4014
133	620	4008
134	624	4002
135	628	3993
136	632	3986
137	636	3974
138	639	3962
139	643	3953
140	647	3941
141	650	3930
142	652	3912
143	657	3910
144	661	3900
145	665	3893
146	670	3889
147	674	3881
148	678	3876
149	683	3873
150	687	3865
151	691	3857
152	694	3846
153	699	3842
154	704	3838
155	707	3829
156	712	3823
157	715	3812
158	720	3808
159	723	3798
160	727	3788
161	731	3782
162	733	3766
163	737	3757
164	740	3747
165	744	3741
166	748	3735
167	752	3728
168	755	3716
169	759	3710
170	764	3705
171	767	3695
172	771	3689
173	775	3680
174	777	3666
175	781	3658
176	784	3649
177	788	3641
178	792	3633
179	796	3628
180	799	3619
181	804	3614
182	807	3606
183	812	3603
184	815	3594
185	820	3588
186	824	3583
187	827	3573
188	831	3567
189	834	3559
190	838	3552
191	842	3546
192	846	3541
193	850	3533
194	853	3525
195	858	3521
196	862	3516
197	866	3509
198	871	3507
199	876	3504
200	879	3495
201	883	3490
202	887	3485
203	891	3479
204	895	3473
205	899	3466
206	903	3459
207	906	3451
208	910	3446
209	915	3442
210	917	3429
211	921	3426
212	926	3421
213	929	3414
214	933	3410
215	937	3402
216	942	3400
217	947	3397
218	951	3392
219	954	3385
220	959	3381
221	963	3375
222	967	3371
223	971	3366
224	975	3359
225	980	3357
226	984	3352
227	987	3344
228	993	3344
229	997	3340
230	1000	3330
231	1005	3329
232	1009	3323
233	1014	3320
234	1018	3316
235	1021	3307
236	1049	3377
237	1052	3371
238	1056	3363
239	1061	3360
240	1065	3354
241	1068	3347
242	1072	3341
243	1076	3335
244	1080	3328
245	1084	3323
246	1087	3315
247	1091	3309
248	1095	3302
249	1098	3296
250	1102	3290
251	1106	3285
252	1110	3278
253	1113	3271
254	1117	3265
255	1121	3259
256	1124	3251
257	1128	3245
258	1131	3237
259	1134	3229
260	1138	3224
261	1142	3217
262	1146	3212
263	1149	3204
264	1153	3200
265	1158	3196
266	1161	3189
267	1166	3186
268	1170	3180
269	1174	3175
270	1178	3170
271	1182	3163
272	1186	3159
273	1191	3155
274	1194	3149
275	1198	3144
276	1202	3139
277	1206	3133
278	1211	3129
279	1215	3124
280	1219	3120
281	1223	3114
282	1226	3108
283	1230	3102
284	1233	3095
285	1238	3091
286	1242	3085
287	1245	3079
288	1249	3073
289	1252	3067
290	1256	3062
291	1260	3055
292	1264	3050
293	1267	3043
294	1271	3038
295	1274	3032
296	1278	3025
297	1282	3020
298	1285	3014
299	1290	3010
300	1293	3004
301	1298	3000
302	1302	2995
303	1305	2988
304	1309	2984
305	1313	2978
306	1317	2973
307	1320	2967
308	1324	2962
309	1329	2958
310	1334	2956
311	1338	2950
312	1343	2948
313	1347	2944
314	1351	2938
315	1355	2933
316	1359	2928
317	1364	2926
318	1368	2921
319	1371	2914
320	1376	2911
321	1380	2907
322	1384	2900
323	1388	2896
324	1391	2890
325	1395	2884
326	1399	2880
327	1403	2875
328	1408	2871
329	1412	2868
330	1416	2862
331	1420	2858
332	1424	2852
333	1428	2848
334	1432	2843
335	1435	2837
336	1439	2832
337	1443	2826
338	1446	2821
339	1450	2815
340	1454	2810
341	1458	2805
342	1461	2798
343	1464	2793
344	1468	2787
345	1472	2782
346	1476	2778
347	1479	2772
348	1483	2766
349	1486	2760
350	1490	2756
351	1494	2751
352	1499	2747
353	1503	2743
354	1506	2736
355	1510	2732
356	1514	2727
357	1518	2723
358	1523	2719
359	1526	2713
360	1530	2708
361	1534	2703
362	1538	2700
363	1542	2694
364	1545	2689
365	1550	2685
366	1553	2679
367	1557	2675
368	1561	2669
369	1565	2665
370	1570	2662
371	1573	2656
372	1577	2652
373	1582	2648
374	1585	2643
375	1590	2639
376	1594	2634
377	1598	2629
378	1602	2626
379	1606	2620
380	1610	2616
381	1613	2610
382	1617	2605
383	1621	2600
384	1624	2595
385	1628	2590
386	1632	2585
387	1635	2579
388	1638	2574
389	1643	2570
390	1647	2566
391	1651	2560
392	1655	2556
393	1658	2551
394	1663	2548
395	1667	2543
396	1671	2538
397	1675	2534
398	1678	2528
399	1682	2524
400	1686	2519
401	1690	2514
402	1694	2510
403	1698	2505
404	1702	2500
405	1706	2497
406	1710	2492
407	1714	2488
408	1718	2483
409	1722	2478
410	1726	2474
411	1730	2469
412	1734	2465
413	1738	2460
414	1742	2456
415	1747	2452
416	1750	2447
417	1755	2443
418	1759	2439
419	1762	2434
420	1766	2428
421	1768	2422
422	1772	2417
423	1776	2413
424	1780	2409
425	1784	2404
426	1788	2399
427	1792	2395
428	1796	2390
429	1801	2388
430	1808	2387
431	1814	2385
432	1821	2384
433	1825	2381
434	1829	2375
435	1833	2372
436	1838	2368
437	1842	2363
438	1846	2359
439	1850	2355
440	1854	2350
441	1859	2347
442	1862	2342
443	1868	2339
444	1872	2335
445	1875	2329
446	1879	2325
447	1883	2320
448	1886	2315
449	1890	2311
450	1894	2305
451	1898	2302
452	1901	2296
453	1905	2291
454	1908	2286
455	1912	2281
456	1916	2277
457	1920	2272
